(0,0,M)
(24,24,Y)
(23,21,K)
(1,14,K)
(0,4,K)
(15,16,K)
(8,19,K)
(24,16,K)
(16,11,K)
(6,7,K)
(8,8,K)
(4,14,K)
(2,4,K)
(18,16,K)
(22,2,K)
(19,22,K)
(17,6,K)
(11,20,K)
(6,0,K)
(10,24,K)
(20,24,K)
(24,8,K)
(14,9,K)
(15,8,K)
(15,11,K)
(1,11,K)
(5,4,K)
(14,15,K)
(15,11,K)
(7,21,K)
(24,19,K)
(15,18,K)
(2,4,K)
(23,6,K)
(1,4,K)
(12,2,K)
(18,6,K)
(19,0,K)
(1,21,K)
(0,15,K)
(9,6,K)
(14,9,K)
(6,12,K)
(13,17,K)
(23,4,K)
(15,17,K)
(10,22,K)
(5,4,K)
(7,23,K)
(0,24,K)
(14,9,K)
(17,1,K)
(12,10,K)
(20,22,K)
(17,13,K)
(16,1,K)
(18,7,K)
(20,20,K)
(2,24,K)
(0,4,K)
(9,11,K)
(4,19,K)
(22,12,K)
(21,14,K)
(2,8,K)
(3,19,K)
(6,6,K)
(5,6,K)
(22,2,K)
(8,16,K)
(21,14,K)
(24,23,K)
(22,19,K)
(5,13,K)
(11,6,K)
(22,5,K)
(8,15,K)
(14,6,K)
(24,3,K)
(1,21,K)
(23,1,K)
(23,5,K)
(16,3,K)
(13,19,K)
(19,20,K)
(15,9,K)
(16,6,K)
(12,22,K)
(6,19,K)
(23,22,K)
(12,20,K)
(17,20,K)
(22,6,K)
(15,18,K)
(10,14,K)
(24,17,K)
(7,2,K)
(23,1,K)
(1,11,K)
(18,9,K)
(10,21,K)
(21,23,K)
(19,13,K)
(20,16,K)
(17,9,K)
(5,20,K)
(3,23,K)
(10,12,K)
(10,20,K)
(24,6,K)
(23,7,K)
(21,22,K)
(22,0,K)
(21,14,K)
(5,6,K)
(12,20,K)
(11,18,K)
(0,24,K)
(16,21,K)
(23,12,K)
(10,15,K)
(15,23,K)
(13,12,K)
(2,7,K)
(3,3,K)
(4,23,K)
(12,12,K)
(0,2,K)
(17,11,K)
(9,12,K)
(3,22,K)
(17,16,K)
(12,24,K)
(8,13,K)
(3,16,K)
(1,16,K)
(18,16,K)
(22,0,K)
(7,3,K)
(7,7,K)
(18,21,K)
(8,6,K)
(16,2,K)
(19,24,K)
(18,20,K)
(6,11,K)
(14,17,K)
(20,7,K)
(6,15,K)
(4,1,K)
(9,7,K)
(5,21,K)
(2,22,K)
(5,2,K)
(24,10,K)
(0,9,K)
(20,14,K)
(12,17,K)
(16,2,K)
(16,21,K)
(19,19,K)
(15,4,K)
(3,7,K)
(1,19,K)
(17,19,K)
(2,16,K)
(14,0,K)
(20,12,K)
(11,5,K)
(9,3,K)
(5,12,K)
(6,4,K)
(9,22,K)
(3,18,K)
(7,9,K)
(1,9,K)
(6,8,K)
(11,2,K)
(20,4,K)
(14,5,K)
(9,21,K)
(10,11,K)
(16,20,K)
(14,21,K)
(24,4,K)
(0,8,K)
(3,18,K)
(24,17,K)
(0,21,K)
